Word_tag,Frequency
lee_SUBST,786
scrivens_SUBST,4
admit_VERB,1114
bail_SUBST,47
23_ADJ,375
fine_VERB,103
total_SUBST,501
"£8,600_UNC",1
admitting_ADJ,11
arise_VERB,596
lancashire_SUBST,180
resort_SUBST,524
association_SUBST,1618
inquiry_SUBST,426
punish_VERB,168
ban_VERB,401
remain_VERB,2883
away_ADJ,73
indefinite_ADJ,38
period_SUBST,2271
trouble_SUBST,975
crystal_SUBST,215
palace_SUBST,517
apparent_ADJ,528
everyone_PRON,1386
such_ADJ,9879
any_ADJ,9170
bill_SUBST,1440
investigation_SUBST,457
grave_ADJ,96
chief_SUBST,589
superintendent_SUBST,48
ken_SUBST,260
mackay_SUBST,55
operation_SUBST,1440
aware_ADJ,715
large_ADJ,4667
number_SUBST,4167
plan_VERB,1299
friday_SUBST,595
reject_VERB,682
claim_SUBST,977
like_PREP,10033
allocated_ADJ,7
fixture_SUBST,116
attractive_ADJ,584
present_ADJ,1255
illumination_SUBST,22
"3,000_ADJ",132
bolton_SUBST,91
burnley_SUBST,21
think_VERB,9073
identity_SUBST,466
change_VERB,2575
suspect_VERB,363
deter_VERB,106
people_SUBST,12531
torquay_SUBST,45
expect_VERB,2895
appoint_VERB,564
smith_SUBST,1019
succession_SUBST,217
cyril_SUBST,41
knowles_SUBST,17
tottenham_SUBST,131
verge_SUBST,75
relegation_SUBST,79
promotion_SUBST,362
play-off_SUBST,110
sherpa_SUBST,6
van_SUBST,478
trophy_SUBST,282
three-year_ADJ,77
contract_SUBST,1019
decide_VERB,2397
resign_VERB,401
saturday_SUBST,914
lose_VERB,3263
eighth_ADJ,156
10_ADJ,2028
feel_VERB,5364
formerly_ADV,201
dundee_SUBST,62
plymouth_SUBST,112
argyle_SUBST,15
southend_SUBST,62
kevin_SUBST,229
drinkell_SUBST,12
29_ADJ,320
become_VERB,7658
coventry_SUBST,173
signing_SUBST,67
transfer_SUBST,371
cost_VERB,1084
"£800,000_UNC",13
"£20,000_UNC",56
fee_SUBST,592
1987_ADJ,989
chelsea_SUBST,330
david_SUBST,2300
speedie_SUBST,4
dunstable_SUBST,15
withdraw_VERB,445
fa_SUBST,263
disciplinary_ADJ,78
action_SUBST,2309
remaining_ADJ,365
walk_VERB,1665
38th_ADJ,6
tie_SUBST,390
staines_SUBST,18
stephen_SUBST,319
head_SUBST,3337
member_SUBST,3895
rugby_SUBST,716
union_SUBST,3328
paterson_SUBST,21
nz_SUBST,14
tour_SUBST,969
lothian_SUBST,14
duncan_SUBST,103
scrum-half_SUBST,51
gala_SUBST,60
party_SUBST,7481
30_ADJ,1155
scotland_SUBST,1149
eight-match_ADJ,9
may_SUBST,1097
june_SUBST,1114
feature_VERB,381
test_SUBST,1475
integral_ADJ,76
build-up_SUBST,67
1991_ADJ,799
significantly_ADV,274
46-year-old_ADJ,5
managing_ADJ,267
hosiery_SUBST,5
firm_SUBST,1491
confirm_VERB,750
ironically_ADV,125
cap_SUBST,294
gain_VERB,838
between_PREP,8139
1969_ADJ,168
1972_ADJ,194
every_ART,3786
board_SUBST,1610
except_PREP,277
black_SUBST,493
particularly_ADV,2015
tough_ADJ,601
wellington_SUBST,109
canterbury_SUBST,146
outline_VERB,208
itinerary_SUBST,28
hogg_SUBST,33
sru_SUBST,2
secretary_SUBST,1954
thank_VERB,438
fit_VERB,790
domestic_ADJ,650
schedule_SUBST,195
13-match_ADJ,4
visit_SUBST,898
australia_SUBST,761
well_ADV,8695
romania_SUBST,195
original_ADJ,1032
cancel_VERB,247
due_ADJ,1191
visit_VERB,1147
1996_ADJ,46
tone_SUBST,441
dramatically_ADV,167
announce_VERB,1318
official_ADJ,862
reaction_SUBST,725
dismissal_SUBST,109
32_ADJ,170
plus_PREP,610
abandon_VERB,539
committee_SUBST,2010
absolutely_ADV,367
appalled_ADJ,64
directive_SUBST,245
regard_VERB,1106
foul_ADJ,74
insist_VERB,796
simply_ADV,1595
matter_SUBST,1921
strict_ADJ,214
refereeing_SUBST,14
letter_SUBST,2190
president_SUBST,2164
suggestion_SUBST,470
public_ADV,13
offender_SUBST,156
discuss_VERB,1030
anomalous_ADJ,14
xv_ADJ,31
under-18_ADJ,11
level_SUBST,2781
athletics_SUBST,100
scot_SUBST,184
short-change_VERB,9
scottish_ADJ,797
commonwealth_SUBST,366
selector_SUBST,76
heavily_ADV,413
criticise_VERB,290
athlete_SUBST,109
auckland_SUBST,67
select_VERB,355
council_SUBST,2283
contingent_SUBST,60
since_CONJ,2836
1966_ADJ,166
jamaica_SUBST,62
immediate_ADJ,566
response_SUBST,1012
lease_SUBST,143
national_ADJ,4157
coach_SUBST,536
undoubtedly_ADV,248
serious_ADJ,1361
setback_SUBST,105
development_SUBST,2449
seem_VERB,6159
easy_ADJ,1885
scots_ADJ,85
get_VERB,12972
great_SUBST,276
britain_SUBST,4908
senior_ADJ,924
future_SUBST,1588
uk_SUBST,1490
priority_SUBST,483
ewan_SUBST,66
murray_SUBST,102
chairman_SUBST,1712
cost_SUBST,2395
factor_SUBST,1040
15_ADJ,1108
achieve_VERB,1558
stringent_ADJ,46
qualifying_ADJ,98
standard_SUBST,1530
set_VERB,3820
amateur_ADJ,161
athletic_ADJ,88
associaton_SUBST,1
one_PRON,7862
allister_SUBST,8
hutton_SUBST,43
wish_VERB,1226
run_VERB,4068
"10,000_ADJ",156
metre_SUBST,472
instead_ADV,1509
marathon_SUBST,151
want_VERB,6990
distinction_SUBST,378
among_PREP,2752
eight_ADJ,1171
extra_ADJ,1052
nomination_SUBST,118
woman_SUBST,5674
aaa_SUBST,12
sprinter_SUBST,36
janise_SUBST,1
neilson_SUBST,4
relay_SUBST,17
seoul_SUBST,48
olympic_SUBST,89
dawn_SUBST,213
kitchen_SUBST,722
british_ADJ,6121
4x400m_UNC,1
gateshead_SUBST,22
hilda_SUBST,13
everett_SUBST,9
additional_ADJ,465
selection_SUBST,504
she_PRON,46088
certainly_ADV,1556
submit_VERB,251
any_ADV,199
welsh_ADJ,507
go_SUBST,126
public_SUBST,1169
cash_SUBST,882
robert_SUBST,874
cole_SUBST,59
hope_VERB,1835
aid_SUBST,930
finance_VERB,381
sending_SUBST,11
89_ADJ,60
competitor_SUBST,211
27_ADJ,378
official_SUBST,1004
january_SUBST,902
general_ADJ,2819
myrddin_SUBST,1
"£50,000_UNC",80
"£172,000_UNC",3
always_ADV,4333
terrific_ADJ,86
faith_SUBST,811
light_ADJ,663
somebody_PRON,284
main_ADJ,2399
sponsor_SUBST,149
circumstance_SUBST,770
choose_VERB,1603
golden_ADJ,474
glint_SUBST,10
colin_SUBST,308
jackson_SUBST,309
110m_SUBST,3
hurdle_SUBST,152
title_VERB,52
men_SUBST,4
andrew_SUBST,454
morris_SUBST,201
strike_VERB,800
gymastics_SUBST,1
short_ADJ,2257
tennis_SUBST,373
page_SUBST,1918
39_ADJ,174
squash_SUBST,101
speedway_SUBST,19
roller_SUBST,75
hockey_SUBST,108
ice_SUBST,424
skate_VERB,40
gymnastics_SUBST,16
maximum_ADJ,395
value_SUBST,1836
increase_VERB,1710
£300_UNC,52
1990_ADJ,1113
increase_SUBST,1085
£170_UNC,7
54-_SUBST,1
72-hole_ADJ,3
line_SUBST,3156
inflation_SUBST,828
limit_SUBST,554
36-hole_ADJ,4
£110_UNC,9
£200_UNC,75
junior_ADJ,313
£50_UNC,116
£100_UNC,151
cycle_SUBST,312
boxing_SUBST,209
baseball_SUBST,83
american_ADJ,2840
motor_SUBST,568
mclaren_SUBST,75
peace_SUBST,942
private_ADJ,2077
war_SUBST,3782
maurice_SUBST,140
ron_SUBST,116
dennis_SUBST,166
stress_VERB,467
continue_VERB,2870
give_VERB,11277
ayrton_SUBST,20
senna_SUBST,90
alain_SUBST,43
prost_SUBST,60
impartial_ADJ,34
treatment_SUBST,854
during_PREP,4103
race_SUBST,1332
commendably_ADV,8
even-handed_ADJ,6
approach_SUBST,1302
arouse_VERB,127
suspicion_SUBST,255
govern_VERB,234
organisation_SUBST,1165
exactly_ADV,755
note_VERB,832
equitable_ADJ,81
method_SUBST,1117
towards_PREP,2573
spain_SUBST,522
sunday_SUBST,1036
james_SUBST,906
hunt_SUBST,224
driver_SUBST,729
familiar_ADJ,585
pressure_SUBST,1533
challenge_SUBST,805
track_SUBST,711
compare_VERB,1162
comparatively_ADV,102
lenient_ADJ,28
fine_ADJ,1399
ignore_VERB,625
warning_SUBST,525
flag_SUBST,244
harsh_ADJ,179
justice_SUBST,758
deliver_VERB,561
mansell_SUBST,116
argument_SUBST,1179
crime_SUBST,798
rush_VERB,335
past_PREP,492
scene_SUBST,953
accident_SUBST,580
infinitely_ADV,52
dangerous_ADJ,622
stop_VERB,2167
command_SUBST,355
black_ADJ,2233
although_CONJ,4000
guarantee_VERB,388
loser_SUBST,120
no_INTERJ,1599
what_PRON,15818
happen_VERB,2423
then_ADV,10555
ferrari_SUBST,92
exchange_SUBST,1036
highly_ADV,836
desirable_ADJ,172
2_ADJ,2027
italian_SUBST,191
present_VERB,1140
28_ADJ,397
irksome_ADJ,18
detail_SUBST,1448
dominant_ADJ,264
must_VERB,5780
recent_ADJ,1655
criticism_SUBST,754
honda_SUBST,68
spring_VERB,179
mind_SUBST,2295
regardless_ADV,136
subsequent_ADJ,321
rather_ADV,4113
naive_ADJ,57
document_SUBST,500
sign_VERB,692
side_SUBST,3550
design_VERB,1044
impression_SUBST,473
sweetness_SUBST,38
light_SUBST,1928
ever_ADV,2705
intention_SUBST,452
leave_VERB,6069
increasingly_ADV,728
isolate_VERB,163
within_PREP,3441
observation_SUBST,278
weigh_VERB,254
mounting_ADJ,39
paranoia_SUBST,31
continually_ADV,128
fast_ADJ,540
see_VERB,13500
mclaren-honda_SUBST,7
management_SUBST,1885
stand_VERB,2951
car_SUBST,3741
grid_SUBST,119
key_ADJ,665
fuss_VERB,31
around_PREP,2177
fear_SUBST,1267
appear_VERB,3008
substance_SUBST,333
equally_ADV,728
portuguese_ADJ,69
grand_UNC,153
prix_UNC,143
receive_VERB,2158
cursory_ADJ,14
welcome_ADJ,267
home_SUBST,4047
pit_SUBST,191
reception_SUBST,252
jerez_SUBST,9
fair_ADJ,734
portugal_SUBST,132
mope_VERB,2
fevered_ADJ,8
brow_SUBST,51
curse_VERB,79
unwelcome_ADJ,48
intrusion_SUBST,40
family_SUBST,4224
affair_SUBST,984
fisa_SUBST,29
governing_ADJ,78
body_SUBST,2941
assuage_VERB,26
grief_SUBST,180
appeal_SUBST,980
sit_VERB,2400
thursday_SUBST,479
jean-marie_SUBST,20
balestre_SUBST,15
point_VERB,1367
regulation_SUBST,586
permit_VERB,356
ban_SUBST,369
capitalise_VERB,65
absence_SUBST,477
beat_VERB,1204
brazilian_SUBST,33
favour_SUBST,670
attack_SUBST,1124
know_VERB,10621
hate_VERB,382
future_ADJ,747
employee_SUBST,685
fiat_SUBST,53
doorstep_SUBST,81
maintain_VERB,1150
parity_SUBST,42
midst_SUBST,97
vested_ADJ,66
interest_SUBST,3658
credit_SUBST,763
really_ADV,3034
rest_VERB,424
neither_ADJ,270
entirely_ADV,656
blemish-free_ADJ,2
soldier_SUBST,772
shoulder_SUBST,610
wheel_SUBST,415
trolley_SUBST,88
represent_VERB,1231
bobsleigh_SUBST,3
surrey_SUBST,240
paratrooper_SUBST,9
left_ADJ,874
alex_SUBST,145
poole_SUBST,82
eric_SUBST,157
sekwalor_SUBST,1
sowerby_SUBST,10
sean_SUBST,76
ollsson_SUBST,1
four-man_ADJ,9
push_SUBST,75
organise_VERB,552
crew_SUBST,472
tom_SUBST,462
de_SUBST,1143
la_SUBST,347
hunty_SUBST,1
cricket_SUBST,492
question_SUBST,2758
yorkshire_SUBST,480
hold_VERB,3969
special_ADJ,1860
full_ADJ,2819
meeting_SUBST,1898
headingley_SUBST,41
october_SUBST,1110
aspect_SUBST,849
move_SUBST,974
follow_VERB,3453
bad_ADJ,2796
history_SUBST,2106
culminate_VERB,94
call_SUBST,827
phil_SUBST,194
carrick_SUBST,21
introduction_SUBST,522
non-yorkshireman_SUBST,1
several_ADJ,2349
brian_SUBST,420
walsh_SUBST,53
agenda_SUBST,286
scheduled_ADJ,54
so_CONJ,2277
10th_ADJ,83
sole_ADJ,185
topic_SUBST,246
discussion_SUBST,831
close_SUBST,139
holiday_SUBST,1324
likely_ADJ,2328
testing_SUBST,153
jeremy_SUBST,112
batty_SUBST,9
18-year-old_ADJ,20
off-spinner_SUBST,6
two-year_ADJ,70
first-class_ADJ,104
scarborough_SUBST,51
figure_SUBST,2264
8_ADJ,745
193_ADJ,9
mohinder_VERB,1
amarnath_SUBST,1
all-rounder_SUBST,28
anger_VERB,90
indian_ADJ,487
